"TCGA.C5.A1MJ.01"
"TCGA.FU.A3EO.01"
"TCGA.EK.A3GM.01"
"TCGA.Q1.A73R.01"
"TCGA.EK.A3GK.01"
"TCGA.EX.A1H6.01"
"TCGA.FU.A3EO.11"
"TCGA.FU.A57G.01"
"TCGA.JW.A69B.01"
"TCGA.EX.A449.01"
"TCGA.IR.A3LB.01"
"TCGA.LP.A7HU.01"
"TCGA.C5.A1ME.01"
"TCGA.JX.A3Q8.01"
"TCGA.FU.A40J.01"
"TCGA.C5.A1M9.01"
"TCGA.C5.A2M2.01"
"TCGA.C5.A2M1.01"
"TCGA.EA.A4BA.01"
"TCGA.EK.A2RL.01"
"TCGA.IR.A3LI.01"
"TCGA.Q1.A73P.01"
